name,phone,role,email,ID
"Eva Vasileva",88868005,"8D","eva.vasileva.8d@student.hbschool.bg",340
"Jivko Stefanov",88868010,"8D","jivko.stefanov.8d@student.hbschool.bg",342
"Lazar Nikolov",88868014,"8D","lazar.nikolov.8d@student.hbschool.bg",343
"Nikola Stefanov",88868018,"8D","nikola.stefanov.8d@student.hbschool.bg",344
"Ognyan Kostov",88868008,"8D","ognyan.kostov.8d@student.hbschool.bg",345
"Petya Hristova",88868017,"8D","petya.hristova.8d@student.hbschool.bg",346
"Petya Stefanova",88868009,"8D","petya.stefanova.8d@student.hbschool.bg",347
"Radina Stoyanova",88868003,"8D","radina.stoyanova.8d@student.hbschool.bg",348
"Ralitsa Kostova",88868019,"8D","ralitsa.kostova.8d@student.hbschool.bg",349
"Simeon Nikolov",88868016,"8D","simeon.nikolov.8d@student.hbschool.bg",350
"Vladimir Stefanov",88868020,"8D","vladimir.stefanov.8d@student.hbschool.bg",351
"Yana Hristova",88868007,"8D","yana.hristova.8d@student.hbschool.bg",352
"Yana Stoyanova",88868015,"8D","yana.stoyanova.8d@student.hbschool.bg",353
"Zhaneta Ivanova",88868001,"8D","zhaneta.ivanova.8d@student.hbschool.bg",354
"Zhaneta Kostova",88868013,"8D","zhaneta.kostova.8d@student.hbschool.bg",355
"Darina Dimitrova",88965001,"9A","darina.dimitrova.9a@student.hbschool.bg",356
"Elitsa Hristova",88965003,"9A","elitsa.hristova.9a@student.hbschool.bg",357
"Eva Nikolova",88965019,"9A","eva.nikolova.9a@student.hbschool.bg",358
"Filip Kostov",88965018,"9A","filip.kostov.9a@student.hbschool.bg",359
"Filip Petkov",88965012,"9A","filip.petkov.9a@student.hbschool.bg",360
"Galina Stoyanova",88965005,"9A","galina.stoyanova.9a@student.hbschool.bg",361
"Georgi Stefanov",88965016,"9A","georgi.stefanov.9a@student.hbschool.bg",362
"Irina Dimitrova",88965017,"9A","irina.dimitrova.9a@student.hbschool.bg",363
"Martin Stoyanov",88965010,"9A","martin.stoyanov.9a@student.hbschool.bg",365
"Milena Vasileva",88965013,"9A","milena.vasileva.9a@student.hbschool.bg",366
"Nikolay Stefanov",88965004,"9A","nikolay.stefanov.9a@student.hbschool.bg",367
"Nikolay Vasilev",88965020,"9A","nikolay.vasilev.9a@student.hbschool.bg",368
"Ognyan Vasilev",88965014,"9A","ognyan.vasilev.9a@student.hbschool.bg",369
"Oksana Kostova",88965007,"9A","oksana.kostova.9a@student.hbschool.bg",370
"Simeon Dimitrov",88965006,"9A","simeon.dimitrov.9a@student.hbschool.bg",371
"Stefka Ivanova",88965009,"9A","stefka.ivanova.9a@student.hbschool.bg",372
"Todor Georgiev",88965002,"9A","todor.georgiev.9a@student.hbschool.bg",373
"Valentin Georgiev",88965008,"9A","valentin.georgiev.9a@student.hbschool.bg",374
"Zhaneta Stefanova",88965011,"9A","zhaneta.stefanova.9a@student.hbschool.bg",375
"Bilyana Georgieva",88966009,"9B","bilyana.georgieva.9b@student.hbschool.bg",376
"Daniela Stoyanova",88966013,"9B","daniela.stoyanova.9b@student.hbschool.bg",377
"Elena Dimitrova",88966007,"9B","elena.dimitrova.9b@student.hbschool.bg",378
"Elitsa Petkova",88966005,"9B","elitsa.petkova.9b@student.hbschool.bg",379
"Galina Vasileva",88966003,"9B","galina.vasileva.9b@student.hbschool.bg",380
"Georgi Stefanov",88966018,"9B","georgi.stefanov.9b@student.hbschool.bg",381
"Hristo Vasilev",88966004,"9B","hristo.vasilev.9b@student.hbschool.bg",382
"Ivan Dimitrov",88966006,"9B","ivan.dimitrov.9b@student.hbschool.bg",383
"Jivko Nikolov",88966002,"9B","jivko.nikolov.9b@student.hbschool.bg",384
"Nevena Hristova",88966017,"9B","nevena.hristova.9b@student.hbschool.bg",385
"Oksana Stoyanova",88966001,"9B","oksana.stoyanova.9b@student.hbschool.bg",386
"Pavel Georgiev",88966014,"9B","pavel.georgiev.9b@student.hbschool.bg",387
"Petya Stefanova",88966011,"9B","petya.stefanova.9b@student.hbschool.bg",388
"Ralitsa Vasileva",88966015,"9B","ralitsa.vasileva.9b@student.hbschool.bg",389
"Rosen Stefanov",88966016,"9B","rosen.stefanov.9b@student.hbschool.bg",390
"Rosen Stefanov",88966020,"9B","rosen.stefanov.9b@student.hbschool.bg",391
"Tanya Vasileva",88966019,"9B","tanya.vasileva.9b@student.hbschool.bg",392
"Valentin Todorov",88966008,"9B","valentin.todorov.9b@student.hbschool.bg",393
"Yasen Nikolov",88966010,"9B","yasen.nikolov.9b@student.hbschool.bg",395
"Aleksandra Nikolova",88967003,"9C","aleksandra.nikolova.9c@student.hbschool.bg",396
"Anton Petkov",88967012,"9C","anton.petkov.9c@student.hbschool.bg",397
"Boris Hristov",88967018,"9C","boris.hristov.9c@student.hbschool.bg",398
"Darina Stefanova",88967009,"9C","darina.stefanova.9c@student.hbschool.bg",399
"Desislava Kostova",88967005,"9C","desislava.kostova.9c@student.hbschool.bg",400
"Elena Nikolova",88967015,"9C","elena.nikolova.9c@student.hbschool.bg",401
"Elitsa Dimitrova",88967007,"9C","elitsa.dimitrova.9c@student.hbschool.bg",402
"Hristina Todorova",88967011,"9C","hristina.todorova.9c@student.hbschool.bg",403
"Kaloyan Vasilev",88967010,"9C","kaloyan.vasilev.9c@student.hbschool.bg",404
"Nikola Dimitrov",88967004,"9C","nikola.dimitrov.9c@student.hbschool.bg",405
"Nikola Vasilev",88967002,"9C","nikola.vasilev.9c@student.hbschool.bg",406
"Olga Stefanova",88967019,"9C","olga.stefanova.9c@student.hbschool.bg",407
"Petya Todorova",88967017,"9C","petya.todorova.9c@student.hbschool.bg",409
"Plamen Dimitrov",88967006,"9C","plamen.dimitrov.9c@student.hbschool.bg",410
"Plamen Todorov",88967016,"9C","plamen.todorov.9c@student.hbschool.bg",411
"Simeon Stoyanov",88967020,"9C","simeon.stoyanov.9c@student.hbschool.bg",412
"Stefan Dimitrov",88967014,"9C","stefan.dimitrov.9c@student.hbschool.bg",413
"Tsvetanka Vasileva",88967001,"9C","tsvetanka.vasileva.9c@student.hbschool.bg",414
"Veselin Georgiev",88967008,"9C","veselin.georgiev.9c@student.hbschool.bg",415
"Anna Vasileva",88968001,"9D","anna.vasileva.9d@student.hbschool.bg",416
"Boris Stefanov",88968006,"9D","boris.stefanov.9d@student.hbschool.bg",417
"Boryana Nikolova",88968017,"9D","boryana.nikolova.9d@student.hbschool.bg",418
"Georgi Nikolov",88968002,"9D","georgi.nikolov.9d@student.hbschool.bg",419
"Irina Hristova",88968007,"9D","irina.hristova.9d@student.hbschool.bg",420
"Ivan Stoyanov",88968016,"9D","ivan.stoyanov.9d@student.hbschool.bg",421
"Ivan Vasilev",88968018,"9D","ivan.vasilev.9d@student.hbschool.bg",422
"Lazar Dimitrov",88968014,"9D","lazar.dimitrov.9d@student.hbschool.bg",423
"Milena Todorova",88968009,"9D","milena.todorova.9d@student.hbschool.bg",424
"Nevena Nikolova",88968019,"9D","nevena.nikolova.9d@student.hbschool.bg",425
"Nevena Todorova",88968005,"9D","nevena.todorova.9d@student.hbschool.bg",426
"Nikolay Georgiev",88968004,"9D","nikolay.georgiev.9d@student.hbschool.bg",427
"Nikolay Todorov",88968010,"9D","nikolay.todorov.9d@student.hbschool.bg",428
"Pavel Nikolov",88968020,"9D","pavel.nikolov.9d@student.hbschool.bg",430
"Petar Hristov",88968012,"9D","petar.hristov.9d@student.hbschool.bg",431
"Violeta Todorova",88968003,"9D","violeta.todorova.9d@student.hbschool.bg",432
"Vladimir Georgiev",88968008,"9D","vladimir.georgiev.9d@student.hbschool.bg",433
"Zhaneta Hristova",88968011,"9D","zhaneta.hristova.9d@student.hbschool.bg",434
"Zlatka Petrova",88968013,"9D","zlatka.petrova.9d@student.hbschool.bg",435
"Bilyana Vasileva",881065017,"10A","bilyana.vasileva.10a@student.hbschool.bg",436
"Daniel Todorov",881065002,"10A","daniel.todorov.10a@student.hbschool.bg",437
"Elena Georgieva",881065013,"10A","elena.georgieva.10a@student.hbschool.bg",438
"Emil Kostov",881065008,"10A","emil.kostov.10a@student.hbschool.bg",439
"Emil Stefanov",881065018,"10A","emil.stefanov.10a@student.hbschool.bg",440
"Galina Stefanova",881065019,"10A","galina.stefanova.10a@student.hbschool.bg",441
"Gergana Kostova",881065001,"10A","gergana.kostova.10a@student.hbschool.bg",442
"Irina Georgieva",881065007,"10A","irina.georgieva.10a@student.hbschool.bg",443
"Irina Hristova",881065009,"10A","irina.hristova.10a@student.hbschool.bg",444
"Jivko Dimitrov",881065016,"10A","jivko.dimitrov.10a@student.hbschool.bg",445
"Kalina Todorova",881065005,"10A","kalina.todorova.10a@student.hbschool.bg",446
"Olga Ivanova",881065015,"10A","olga.ivanova.10a@student.hbschool.bg",448
"Plamen Nikolov",881065020,"10A","plamen.nikolov.10a@student.hbschool.bg",449
"Simeon Petrov",881065010,"10A","simeon.petrov.10a@student.hbschool.bg",450
"Tsvetanka Petrova",881065003,"10A","tsvetanka.petrova.10a@student.hbschool.bg",451
"Veselin Georgiev",881065004,"10A","veselin.georgiev.10a@student.hbschool.bg",452
"Veselin Ivanov",881065012,"10A","veselin.ivanov.10a@student.hbschool.bg",453
"Yana Vasileva",881065011,"10A","yana.vasileva.10a@student.hbschool.bg",454
"Yasen Stoyanov",881065014,"10A","yasen.stoyanov.10a@student.hbschool.bg",455
"Anna Stoyanova",881066001,"10B","anna.stoyanova.10b@student.hbschool.bg",456
"Anton Stefanov",881066014,"10B","anton.stefanov.10b@student.hbschool.bg",457
"Bilyana Georgieva",881066017,"10B","bilyana.georgieva.10b@student.hbschool.bg",458
"Boryana Dimitrova",881066005,"10B","boryana.dimitrova.10b@student.hbschool.bg",459
"Daniel Dimitrov",881066012,"10B","daniel.dimitrov.10b@student.hbschool.bg",460
"Hristina Stefanova",881066013,"10B","hristina.stefanova.10b@student.hbschool.bg",461
"Ivan Hristov",881066010,"10B","ivan.hristov.10b@student.hbschool.bg",462
"Jivko Kostov",881066020,"10B","jivko.kostov.10b@student.hbschool.bg",463
"Kalina Petrova",881066011,"10B","kalina.petrova.10b@student.hbschool.bg",464
"Maria Todorova",881066003,"10B","maria.todorova.10b@student.hbschool.bg",465
"Nikola Petrov",881066016,"10B","nikola.petrov.10b@student.hbschool.bg",466
"Nikolay Georgiev",881066004,"10B","nikolay.georgiev.10b@student.hbschool.bg",467
"Petya Ivanova",881066015,"10B","petya.ivanova.10b@student.hbschool.bg",469
"Radina Petkova",881066009,"10B","radina.petkova.10b@student.hbschool.bg",470
"Simeon Ivanov",881066008,"10B","simeon.ivanov.10b@student.hbschool.bg",471
"Stefan Petkov",881066006,"10B","stefan.petkov.10b@student.hbschool.bg",472
"Viktor Petkov",881066002,"10B","viktor.petkov.10b@student.hbschool.bg",473
"Yana Hristova",881066007,"10B","yana.hristova.10b@student.hbschool.bg",474
"Yana Vasileva",881066019,"10B","yana.vasileva.10b@student.hbschool.bg",475
"Aleksandar Vasilev",881067018,"10C","aleksandar.vasilev.10c@student.hbschool.bg",476
"Aleksandra Stoyanova",881067015,"10C","aleksandra.stoyanova.10c@student.hbschool.bg",477
"Anelia Stoyanova",881067001,"10C","anelia.stoyanova.10c@student.hbschool.bg",478
"Anton Nikolov",881067008,"10C","anton.nikolov.10c@student.hbschool.bg",479
"Boryana Hristova",881067009,"10C","boryana.hristova.10c@student.hbschool.bg",480
"Eva Stoyanova",881067003,"10C","eva.stoyanova.10c@student.hbschool.bg",481
"Hristina Georgieva",881067017,"10C","hristina.georgieva.10c@student.hbschool.bg",482
"Hristo Stefanov",881067016,"10C","hristo.stefanov.10c@student.hbschool.bg",483
"Lazar Petrov",881067014,"10C","lazar.petrov.10c@student.hbschool.bg",484
"Lyubomir Petkov",881067002,"10C","lyubomir.petkov.10c@student.hbschool.bg",485
"Lyubomir Stefanov",881067004,"10C","lyubomir.stefanov.10c@student.hbschool.bg",486
"Olga Dimitrova",881067007,"10C","olga.dimitrova.10c@student.hbschool.bg",488
"Petar Petkov",881067020,"10C","petar.petkov.10c@student.hbschool.bg",489
"Ralitsa Todorova",881067011,"10C","ralitsa.todorova.10c@student.hbschool.bg",490
"Silvia Stefanova",881067005,"10C","silvia.stefanova.10c@student.hbschool.bg",491
"Stefan Ivanov",881067012,"10C","stefan.ivanov.10c@student.hbschool.bg",492
"Stefka Stoyanova",881067013,"10C","stefka.stoyanova.10c@student.hbschool.bg",493
"Todor Petkov",881067010,"10C","todor.petkov.10c@student.hbschool.bg",494
"Viktor Stefanov",881067006,"10C","viktor.stefanov.10c@student.hbschool.bg",495
"Aleksandra Kostova",881068003,"10D","aleksandra.kostova.10d@student.hbschool.bg",496
"Aleksandra Stefanova",881068011,"10D","aleksandra.stefanova.10d@student.hbschool.bg",497
"Boryana Ivanova",881068005,"10D","boryana.ivanova.10d@student.hbschool.bg",498
"Hristo Georgiev",881068002,"10D","hristo.georgiev.10d@student.hbschool.bg",499
"Hristo Ivanov",881068010,"10D","hristo.ivanov.10d@student.hbschool.bg",500
"Ivan Dimitrov",881068006,"10D","ivan.dimitrov.10d@student.hbschool.bg",501
"Ivan Dimitrov",881068018,"10D","ivan.dimitrov.10d@student.hbschool.bg",502
"Kalina Todorova",881068017,"10D","kalina.todorova.10d@student.hbschool.bg",503
"Milena Petkova",881068009,"10D","milena.petkova.10d@student.hbschool.bg",504
"Nevena Petrova",881068013,"10D","nevena.petrova.10d@student.hbschool.bg",505
"Nikolay Petrov",881068008,"10D","nikolay.petrov.10d@student.hbschool.bg",506
"Olga Stefanova",881068015,"10D","olga.stefanova.10d@student.hbschool.bg",507
"Petar Petrov",881068012,"10D","petar.petrov.10d@student.hbschool.bg",508
"Simeon Hristov",881068004,"10D","simeon.hristov.10d@student.hbschool.bg",510
"Stefan Ivanov",881068014,"10D","stefan.ivanov.10d@student.hbschool.bg",511
"Veselin Kostov",881068020,"10D","veselin.kostov.10d@student.hbschool.bg",512
"Violeta Georgieva",881068007,"10D","violeta.georgieva.10d@student.hbschool.bg",513
"Zhaneta Stefanova",881068019,"10D","zhaneta.stefanova.10d@student.hbschool.bg",514
"Zhaneta Stoyanova",881068001,"10D","zhaneta.stoyanova.10d@student.hbschool.bg",515
"Anton Todorov",881165004,"11A","anton.todorov.11a@student.hbschool.bg",516
"Boris Georgiev",881165020,"11A","boris.georgiev.11a@student.hbschool.bg",517
"Daniel Hristov",881165008,"11A","daniel.hristov.11a@student.hbschool.bg",518
"Daniel Kostov",881165016,"11A","daniel.kostov.11a@student.hbschool.bg",519
"Eva Vasileva",881165005,"11A","eva.vasileva.11a@student.hbschool.bg",520
"Filip Petrov",881165010,"11A","filip.petrov.11a@student.hbschool.bg",521
"Filip Stefanov",881165002,"11A","filip.stefanov.11a@student.hbschool.bg",522
"Filip Stoyanov",881165006,"11A","filip.stoyanov.11a@student.hbschool.bg",523
"Hristina Georgieva",881165011,"11A","hristina.georgieva.11a@student.hbschool.bg",524
"Hristina Kostova",881165009,"11A","hristina.kostova.11a@student.hbschool.bg",525
"Karina Hristova",881165015,"11A","karina.hristova.11a@student.hbschool.bg",526
"Martin Nikolov",881165012,"11A","martin.nikolov.11a@student.hbschool.bg",527
"Nikolay Stoyanov",881165018,"11A","nikolay.stoyanov.11a@student.hbschool.bg",528
"Oksana Todorova",881165007,"11A","oksana.todorova.11a@student.hbschool.bg",529
"Ralitsa Hristova",881165003,"11A","ralitsa.hristova.11a@student.hbschool.bg",531
"Stefka Kostova",881165001,"11A","stefka.kostova.11a@student.hbschool.bg",532
"Valentin Kostov",881165014,"11A","valentin.kostov.11a@student.hbschool.bg",533
"Violeta Petkova",881165019,"11A","violeta.petkova.11a@student.hbschool.bg",534
"Atanas Hristov",881166008,"11B","atanas.hristov.11b@student.hbschool.bg",536
"Atanas Hristov",881166020,"11B","atanas.hristov.11b@student.hbschool.bg",537
"Boris Nikolov",881166014,"11B","boris.nikolov.11b@student.hbschool.bg",538
"Darina Petrova",881166003,"11B","darina.petrova.11b@student.hbschool.bg",539
"Emil Ivanov",881166004,"11B","emil.ivanov.11b@student.hbschool.bg",540
"Galina Ivanova",881166009,"11B","galina.ivanova.11b@student.hbschool.bg",541
"Georgi Georgiev",881166018,"11B","georgi.georgiev.11b@student.hbschool.bg",542
"Hristina Ivanova",881166007,"11B","hristina.ivanova.11b@student.hbschool.bg",543
"Hristina Nikolova",881166017,"11B","hristina.nikolova.11b@student.hbschool.bg",544
"Kaloyan Petrov",881166012,"11B","kaloyan.petrov.11b@student.hbschool.bg",545
"Karina Petrova",881166001,"11B","karina.petrova.11b@student.hbschool.bg",546
"Kristina Vasileva",881166005,"11B","kristina.vasileva.11b@student.hbschool.bg",547
"Maria Dimitrova",881166019,"11B","maria.dimitrova.11b@student.hbschool.bg",548
"Maria Hristova",881166015,"11B","maria.hristova.11b@student.hbschool.bg",549
"Martin Petrov",881166002,"11B","martin.petrov.11b@student.hbschool.bg",550
"Nikolay Hristov",881166010,"11B","nikolay.hristov.11b@student.hbschool.bg",551
"Ognyan Kostov",881166006,"11B","ognyan.kostov.11b@student.hbschool.bg",552
"Radina Stefanova",881166013,"11B","radina.stefanova.11b@student.hbschool.bg",553
"Tanya Petkova",881166011,"11B","tanya.petkova.11b@student.hbschool.bg",554
"Todor Kostov",881166016,"11B","todor.kostov.11b@student.hbschool.bg",555
"Gergana Hristova",881167009,"11C","gergana.hristova.11c@student.hbschool.bg",556
"Hristina Stoyanova",881167007,"11C","hristina.stoyanova.11c@student.hbschool.bg",557
"Martin Ivanov",881167012,"11C","martin.ivanov.11c@student.hbschool.bg",559
"Milena Hristova",881167013,"11C","milena.hristova.11c@student.hbschool.bg",560
"Nikola Dimitrov",881167014,"11C","nikola.dimitrov.11c@student.hbschool.bg",561
"Nikola Georgiev",881167002,"11C","nikola.georgiev.11c@student.hbschool.bg",562
"Ognyan Georgiev",881167010,"11C","ognyan.georgiev.11c@student.hbschool.bg",563
"Ognyan Petrov",881167016,"11C","ognyan.petrov.11c@student.hbschool.bg",564
"Oksana Todorova",881167001,"11C","oksana.todorova.11c@student.hbschool.bg",565
"Olga Petrova",881167015,"11C","olga.petrova.11c@student.hbschool.bg",566
"Olga Petrova",881167019,"11C","olga.petrova.11c@student.hbschool.bg",567
"Petya Stefanova",881167011,"11C","petya.stefanova.11c@student.hbschool.bg",568
"Plamen Petrov",881167008,"11C","plamen.petrov.11c@student.hbschool.bg",569
"Silvia Kostova",881167003,"11C","silvia.kostova.11c@student.hbschool.bg",570
"Stefan Vasilev",881167018,"11C","stefan.vasilev.11c@student.hbschool.bg",572
"Stoyan Kostov",881167006,"11C","stoyan.kostov.11c@student.hbschool.bg",573
"Teodora Georgieva",881167005,"11C","teodora.georgieva.11c@student.hbschool.bg",574
"Valentin Petrov",881167020,"11C","valentin.petrov.11c@student.hbschool.bg",575
"Bilyana Hristova",881168005,"11D","bilyana.hristova.11d@student.hbschool.bg",576
"Dimitar Nikolov",881168018,"11D","dimitar.nikolov.11d@student.hbschool.bg",577
"Elitsa Ivanova",881168009,"11D","elitsa.ivanova.11d@student.hbschool.bg",578
"Eva Todorova",881168013,"11D","eva.todorova.11d@student.hbschool.bg",579
"Eva Vasileva",881168017,"11D","eva.vasileva.11d@student.hbschool.bg",580
"Filip Stefanov",881168006,"11D","filip.stefanov.11d@student.hbschool.bg",581
"Kaloyan Stoyanov",881168012,"11D","kaloyan.stoyanov.11d@student.hbschool.bg",582
"Kristina Stoyanova",881168015,"11D","kristina.stoyanova.11d@student.hbschool.bg",583
"Lazar Petrov",881168020,"11D","lazar.petrov.11d@student.hbschool.bg",584
"Nikolay Dimitrov",881168002,"11D","nikolay.dimitrov.11d@student.hbschool.bg",585
"Ognyan Petkov",881168014,"11D","ognyan.petkov.11d@student.hbschool.bg",586
"Petar Vasilev",881168010,"11D","petar.vasilev.11d@student.hbschool.bg",587
"Petya Georgieva",881168007,"11D","petya.georgieva.11d@student.hbschool.bg",588
"Silvia Stefanova",881168003,"11D","silvia.stefanova.11d@student.hbschool.bg",589
"Stoyan Kostov",881168016,"11D","stoyan.kostov.11d@student.hbschool.bg",590
"Stoyan Stefanov",881168008,"11D","stoyan.stefanov.11d@student.hbschool.bg",591
"Teodora Georgieva",881168001,"11D","teodora.georgieva.11d@student.hbschool.bg",593
"Todor Vasilev",881168004,"11D","todor.vasilev.11d@student.hbschool.bg",594
"Zlatka Ivanova",881168019,"11D","zlatka.ivanova.11d@student.hbschool.bg",595
"Aleksandra Hristova",881265003,"12A","aleksandra.hristova.12a@student.hbschool.bg",596
"Atanas Georgiev",881265006,"12A","atanas.georgiev.12a@student.hbschool.bg",597
"Atanas Hristov",881265004,"12A","atanas.hristov.12a@student.hbschool.bg",598
"Elena Kostova",881265005,"12A","elena.kostova.12a@student.hbschool.bg",600
"Kalina Stefanova",881265017,"12A","kalina.stefanova.12a@student.hbschool.bg",601
"Karina Vasileva",881265013,"12A","karina.vasileva.12a@student.hbschool.bg",602
"Kristina Petkova",881265011,"12A","kristina.petkova.12a@student.hbschool.bg",603
"Lyubomir Todorov",881265020,"12A","lyubomir.todorov.12a@student.hbschool.bg",604
"Ognyan Hristov",881265012,"12A","ognyan.hristov.12a@student.hbschool.bg",605
"Ognyan Petrov",881265008,"12A","ognyan.petrov.12a@student.hbschool.bg",606
"Pavel Vasilev",881265018,"12A","pavel.vasilev.12a@student.hbschool.bg",607
"Petar Petkov",881265014,"12A","petar.petkov.12a@student.hbschool.bg",608
"Petar Petrov",881265016,"12A","petar.petrov.12a@student.hbschool.bg",609
"Petya Georgieva",881265009,"12A","petya.georgieva.12a@student.hbschool.bg",610
"Ralitsa Petkova",881265019,"12A","ralitsa.petkova.12a@student.hbschool.bg",611
"Stoyan Petrov",881265002,"12A","stoyan.petrov.12a@student.hbschool.bg",612
"Viktor Petkov",881265010,"12A","viktor.petkov.12a@student.hbschool.bg",613
"Yana Petrova",881265015,"12A","yana.petrova.12a@student.hbschool.bg",614
"Yana Todorova",881265007,"12A","yana.todorova.12a@student.hbschool.bg",615
"Aleksandar Ivanov",881266002,"12B","aleksandar.ivanov.12b@student.hbschool.bg",616
"Aleksandar Vasilev",881266014,"12B","aleksandar.vasilev.12b@student.hbschool.bg",617
"Aleksandra Petrova",881266001,"12B","aleksandra.petrova.12b@student.hbschool.bg",618
"Anton Todorov",881266006,"12B","anton.todorov.12b@student.hbschool.bg",619
"Boryana Ivanova",881266005,"12B","boryana.ivanova.12b@student.hbschool.bg",620
"Emil Nikolov",881266010,"12B","emil.nikolov.12b@student.hbschool.bg",621
"Irina Ivanova",881266017,"12B","irina.ivanova.12b@student.hbschool.bg",623
"Ivan Stoyanov",881266008,"12B","ivan.stoyanov.12b@student.hbschool.bg",624
"Jivko Todorov",881266004,"12B","jivko.todorov.12b@student.hbschool.bg",625
"Milena Todorova",881266013,"12B","milena.todorova.12b@student.hbschool.bg",627
"Nikolay Petrov",881266012,"12B","nikolay.petrov.12b@student.hbschool.bg",628
"Oksana Kostova",881266007,"12B","oksana.kostova.12b@student.hbschool.bg",629
"Pavel Petkov",881266020,"12B","pavel.petkov.12b@student.hbschool.bg",630
"Petar Kostov",881266016,"12B","petar.kostov.12b@student.hbschool.bg",631
"Tsvetanka Todorova",881266019,"12B","tsvetanka.todorova.12b@student.hbschool.bg",632
"Viktor Stefanov",881266018,"12B","viktor.stefanov.12b@student.hbschool.bg",633
"Zhaneta Stoyanova",881266011,"12B","zhaneta.stoyanova.12b@student.hbschool.bg",634
"Zlatka Nikolova",881266003,"12B","zlatka.nikolova.12b@student.hbschool.bg",635
"Aleksandra Dimitrova",881267005,"12C","aleksandra.dimitrova.12c@student.hbschool.bg",636
"Anton Nikolov",881267010,"12C","anton.nikolov.12c@student.hbschool.bg",637
"Anton Nikolov",881267020,"12C","anton.nikolov.12c@student.hbschool.bg",638
"Atanas Ivanov",881267004,"12C","atanas.ivanov.12c@student.hbschool.bg",639
"Daniela Nikolova",881267007,"12C","daniela.nikolova.12c@student.hbschool.bg",640
"Darina Ivanova",881267019,"12C","darina.ivanova.12c@student.hbschool.bg",641
"Elitsa Kostova",881267015,"12C","elitsa.kostova.12c@student.hbschool.bg",642
"Galina Dimitrova",881267011,"12C","galina.dimitrova.12c@student.hbschool.bg",643
"Georgi Petrov",881267002,"12C","georgi.petrov.12c@student.hbschool.bg",644
"Georgi Stoyanov",881267012,"12C","georgi.stoyanov.12c@student.hbschool.bg",645
"Irina Dimitrova",881267001,"12C","irina.dimitrova.12c@student.hbschool.bg",646
"Kaloyan Kostov",881267006,"12C","kaloyan.kostov.12c@student.hbschool.bg",647
"Kaloyan Vasilev",881267014,"12C","kaloyan.vasilev.12c@student.hbschool.bg",648
"Milena Ivanova",881267003,"12C","milena.ivanova.12c@student.hbschool.bg",650
"Ognyan Hristov",881267018,"12C","ognyan.hristov.12c@student.hbschool.bg",651
"Ognyan Petrov",881267008,"12C","ognyan.petrov.12c@student.hbschool.bg",652
"Stefka Ivanova",881267009,"12C","stefka.ivanova.12c@student.hbschool.bg",653
"Stefka Stefanova",881267017,"12C","stefka.stefanova.12c@student.hbschool.bg",654
"Stoyan Dimitrov",881267016,"12C","stoyan.dimitrov.12c@student.hbschool.bg",655
"Atanas Vasilev",881268012,"12D","atanas.vasilev.12d@student.hbschool.bg",656
"Darina Hristova",881268001,"12D","darina.hristova.12d@student.hbschool.bg",657
"Dimitar Hristov",881268008,"12D","dimitar.hristov.12d@student.hbschool.bg",658
"Elena Petrova",881268017,"12D","elena.petrova.12d@student.hbschool.bg",659
"Irina Georgieva",881268009,"12D","irina.georgieva.12d@student.hbschool.bg",660
"Irina Stefanova",881268019,"12D","irina.stefanova.12d@student.hbschool.bg",661
"Kaloyan Petkov",881268016,"12D","kaloyan.petkov.12d@student.hbschool.bg",662
"Lazar Dimitrov",881268006,"12D","lazar.dimitrov.12d@student.hbschool.bg",663
"Lyubomir Todorov",881268002,"12D","lyubomir.todorov.12d@student.hbschool.bg",664
"Silvia Ivanova",881268005,"12D","silvia.ivanova.12d@student.hbschool.bg",665
"Simeon Hristov",881268010,"12D","simeon.hristov.12d@student.hbschool.bg",666
"Stefan Vasilev",881268004,"12D","stefan.vasilev.12d@student.hbschool.bg",668
"Stefka Dimitrova",881268003,"12D","stefka.dimitrova.12d@student.hbschool.bg",669
"Stefka Dimitrova",881268015,"12D","stefka.dimitrova.12d@student.hbschool.bg",670
"Teodora Hristova",881268013,"12D","teodora.hristova.12d@student.hbschool.bg",671
"Tsvetanka Todorova",881268011,"12D","tsvetanka.todorova.12d@student.hbschool.bg",672
"Valentin Vasilev",881268018,"12D","valentin.vasilev.12d@student.hbschool.bg",673
"Vladimir Petkov",881268014,"12D","vladimir.petkov.12d@student.hbschool.bg",674
"Zhaneta Ivanova",881268007,"12D","zhaneta.ivanova.12d@student.hbschool.bg",675
"Borislav Georgiev",882890123,"PHYSICS","borislav.georgiev@hbschool.bg",18
"Anton Petkov",88565010,"5A","anton.petkov.5a@student.hbschool.bg",36
"Aleksandar Dimitrov",88566004,"5B","aleksandar.dimitrov.5b@student.hbschool.bg",56
"Rosen Hristov",88567012,"5C","rosen.hristov.5c@student.hbschool.bg",87
"Aleksandra Vasileva",88665011,"6A","aleksandra.vasileva.6a@student.hbschool.bg",117
"Milena Dimitrova",88666007,"6B","milena.dimitrova.6b@student.hbschool.bg",147
"Silvia Stoyanova",88667001,"6C","silvia.stoyanova.6c@student.hbschool.bg",173
"Georgi Georgiev",88765010,"7A","georgi.georgiev.7a@student.hbschool.bg",199
"Anelia Ivanova",88766003,"7B","anelia.ivanova.7b@student.hbschool.bg",220
"Dimitar Todorov",88767014,"7C","dimitar.todorov.7c@student.hbschool.bg",240
"Tsvetanka Georgieva",88768003,"7D","tsvetanka.georgieva.7d@student.hbschool.bg",271
